wb_id,wb_username,wb_userid,wb_text,wb_time,wb_repost,wb_like,wb_comment,keyword,sort
//weibo.com/2129635672?refer_flag=1001030103_,Sophos-让安全更简单,2129635672,防止勒索软件白皮书 - 阅读了解病毒攻击工作方式，研究阻止方法见招拆招，配置防火墙和网络以阻止勒索软件最佳方案。 先发制人拦截勒索软件 ​,2019年12月24日 21:22,4,2,1,勒索病毒,
//weibo.com/2266998922?refer_flag=1001030103_,King苍茫angel1,2266998922,#比特币勒索病毒# ～显现1224。 ​,2019年12月24日 07:32,0,0,0,勒索病毒,
//weibo.com/3012859624?refer_flag=1001030103_,忤依,3012859624,我的电脑深中此毒已经病入膏肓了，我曾经试了好多办法也没能根除，也可能是由此我收到了敲诈勒索邮件（包含我某个帐密信息），但一直没管也，然后电脑很久没出现提示，到今天突然提示发现病毒已经由1.0变为3.0……？？？然后一搜索……我电脑是不是快完蛋了 ​,2019年12月23日 23:08,0,1,0,勒索病毒,
//weibo.com/2716605205?refer_flag=1001030103_,note2488,2716605205,"“黑客勒索比特币？40秒学会预防”#比特币病毒##勒索软件攻击# 最简单预防方案出来了网页链接（使用#秒拍#录制,欣喜1223,流量看热门短视频!） ​",2019年12月23日 20:16,0,0,0,勒索病毒,
//weibo.com/2867542292?refer_flag=1001030103_,何梅罗内,2867542292,发布了头条文章：《WannaCry勒索病毒处理指南》 WannaCry勒索病毒处理指南 ～战机1223。 ​,2019年12月23日 20:16,0,0,0,勒索病毒,
//weibo.com/2858391690?refer_flag=1001030103_,挚爱Xdd小姐,2858391690,注意！国内高校突发比特币病毒，很多高校已沦陷！全球突发比特币病毒事件！英国16家医院遭到大范围网络攻击，电脑被锁定， 黑客索要每家医院支付近400万人民币赎金，否则将删除所有资料。大家1223。前比特币病毒在全球蔓延，外网已经闹得沸沸扬扬。更重要的是，国内部分高校反映教育网电脑大面积中了比 ​  展开全文c,2019年12月23日 20:16,0,0,0,勒索病毒,
//weibo.com/2095241742?refer_flag=1001030103_,雪pandora,2095241742,发布了头条文章：《勒索病毒祸乱全球 充分证明备份数据的重要性》 勒索病毒祸乱全球 充分证明备份数据的重要性 ～丢失1223。 ​,2019年12月23日 20:16,0,0,0,勒索病毒,
//weibo.com/1753147763?refer_flag=1001030103_,红叉叉_帅裂苍穹,1753147763,我以为攻击服务器放勒索病毒只能在网上看到，万万没想到有一天我也会成为受害人之一，牛批…… ​,2019年12月23日 18:07,0,0,0,勒索病毒,
//weibo.com/2969567533?refer_flag=1001030103_,切尔夫基斯拉,2969567533,谁能给我介绍个网络高手啊啊啊公司电脑软件中了勒索病毒……现在老板都在怀疑人生了…… ​,2019年12月23日 14:05,0,0,0,勒索病毒,
//weibo.com/1891168737?refer_flag=1001030103_,陆文举,1891168737,勒索病毒如何防范与治理 O勒索病毒如何防范与治理 ​,2019年12月23日 13:42,0,0,3,勒索病毒,
//weibo.com/6345987646?refer_flag=1001030103_,我爱吃贝贝,6345987646,#比特币病毒##勒索软件攻击#萌口组成员紫苑寺白发布了头条文章：《紫苑寺白的安全贴士（一）：不要乱传勒索软件的谣言啦！！》 ，佩服1223，伙伴们快来围观O(∩_∩)O 紫苑寺白的安全贴士（一）：不要乱传勒索软件的谣言啦！！ ​,2019年12月23日 13:02,0,0,0,勒索病毒,
//weibo.com/7244930379?refer_flag=1001030103_,安界网,7244930379,"#黑客##黑客攻击##互联网信息安全# @学点黑客技术 @黑客中的艺术家 @FreeBuf @黑客是怎样练成的  【勒索病毒攻击新玩法，先盗数据再勒索】Maze勒索病毒团伙向Southwire勒索600万美元的赎金，Southwire是北美领先的电线电缆制造商之一，拥有7,500多名员工，2018年的收入为61亿美元，超过了2017年的55 ​  展开全文c",2019年12月23日 12:05,2,3,3,勒索病毒,
//weibo.com/3957583411?refer_flag=1001030103_,安全客官方微博,3957583411,"【勒索病毒攻击新玩法，先盗数据再勒索】Maze勒索病毒团伙向Southwire勒索600万美元的赎金，Southwire是北美领先的电线电缆制造商之一，拥有7,500多名员工，2018年的收入为61亿美元，超过了2017年的55亿美元。O网页链接 ​",2019年12月23日 11:52,1,1,0,勒索病毒,
//weibo.com/5031559654?refer_flag=1001030103_,国家互联网应急中心甘肃分中心,5031559654,#网络安全资讯#【Nemty勒索病毒结盟僵尸网络，黑产合作已成趋势威胁倍增 】近日，奇安信病毒响应中心发现Nemty勒索家族新变种开始肆虐，目前已经监测到国内有用户陆续中招，由于新变种暂无解密工具，我们提醒政企用户多加防范。O网页链接 ​,2019年12月23日 10:53,0,0,0,勒索病毒,
//weibo.com/1910904680?refer_flag=1001030103_,无名_守望者,1910904680,最近也太tm刺激了。。。勒索病毒🦠 ​,2019年12月23日 10:29,0,2,0,勒索病毒,
//weibo.com/1400887105?refer_flag=1001030103_,司马平邦,1400887105,人工智能技术的加持，5G建设的全面铺开，加速了工业互联网的普及，与此同时，工业信息安全产业规模加速扩容。6月22日，“2019年中国工业信息安全大会”发布《中国工业信息安全产业发展白皮书（2018-2019年）》，其中数据显示，2018年我国工业信息安全产业规模市场增长率达33.55%。预计2019年市场增长率 ​  展开全文c,2019年12月22日 23:15,5,1,5,勒索病毒,
//weibo.com/2965984824?refer_flag=1001030103_,还记得夕阳下的那次奔跑,2965984824,#鼠标779#全球爆发大规模勒索病毒网上出的步骤太繁琐了，给大家演示一个简单可操作的，抓紧按照这个方法，把端口禁掉吧 。 L秒拍视频 ​,2019年12月22日 13:15,0,0,0,勒索病毒,
